lote,linea,palma,longitud,latitud,Estado,Errores
"67-CASA ROJA",1,1,-73.6426845,3.884461687,OK,
"67-CASA ROJA",1,9,-73.6427181,3.885243744,OK,
"67-CASA ROJA",1,2,-73.6426981,3.884589003,OK,
"67-CASA ROJA",1,8,-73.6427363,3.88501869,OK,
"67-CASA ROJA",1,6,-73.6427342,3.884768618,OK,
"67-CASA ROJA",1,6,-73.6427342,3.884825452,OK,
"67-CASA ROJA",1,10,-73.6427113,3.885339222,OK,
"67-CASA ROJA",1,2,-73.6426981,3.884516255,OK,
"67-CASA ROJA",1,8,-73.6427363,3.885116445,OK,
"67-CASA ROJA",1,4,-73.6427184,3.884693588,OK,
"62-LA CEIBA",1,2,-73.6682487,3.8882133,OK,
"62-LA CEIBA",1,1,-73.668255,3.8882857,OK,
"67-CASA ROJA",10,4,-73.643307,3.884437001,OK,
"67-CASA ROJA",10,6,-73.6433114,3.884655247,OK,
"67-CASA ROJA",10,9,-73.6433407,3.884962167,OK,
"67-CASA ROJA",10,14,-73.6434578,3.886187575,OK,
"67-CASA ROJA",10,8,-73.6433408,3.884821218,OK,
"67-CASA ROJA",10,12,-73.6434127,3.885682863,OK,
"67-CASA ROJA",10,2,-73.6432867,3.884275581,OK,
"67-CASA ROJA",10,5,-73.6433092,3.884507477,OK,
"67-CASA ROJA",10,13,-73.6434172,3.885819268,OK,
"67-CASA ROJA",10,9,-73.6433407,3.884884873,OK,
"67-CASA ROJA",10,7,-73.6433295,3.884739371,OK,
"67-CASA ROJA",10,15,-73.64346,3.886264871,OK,
"67-CASA ROJA",10,1,-73.6432754,3.884186914,OK,
"67-CASA ROJA",10,11,-73.6433542,3.88512813,OK,
"67-CASA ROJA",10,3,-73.6432912,3.884357425,OK,
"62-LA CEIBA",10,14,-73.6674644,3.8876786,OK,
"62-LA CEIBA",10,15,-73.6674453,3.8875936,OK,
"62-LA CEIBA",10,7,-73.6675471,3.888316,OK,
"62-LA CEIBA",10,13,-73.6674683,3.887769,OK,
"62-LA CEIBA",10,10,-73.6675137,3.888043,OK,
"62-LA CEIBA",10,17,-73.6674181,3.8874383,OK,
"62-LA CEIBA",10,11,-73.6675004,3.8879574,OK,
"62-LA CEIBA",10,12,-73.6674893,3.8878756,OK,
"62-LA CEIBA",10,9,-73.6675257,3.8881365,OK,
"62-LA CEIBA",10,16,-73.6674258,3.8875046,OK,
"62-LA CEIBA",10,2,-73.6676091,3.88876,OK,
"62-LA CEIBA",10,4,-73.6675902,3.8885863,OK,
"62-LA CEIBA",10,8,-73.6675401,3.8882122,OK,
"62-LA CEIBA",10,3,-73.6675955,3.8886706,OK,
"62-LA CEIBA",10,1,-73.6676184,3.888844,OK,
"62-LA CEIBA",10,6,-73.6675601,3.8883977,OK,
"62-LA CEIBA",10,5,-73.6675813,3.8884845,OK,
"67-CASA ROJA",100,23,-73.6493731,3.884194583,OK,
"67-CASA ROJA",100,22,-73.6493618,3.884062721,OK,
"67-CASA ROJA",100,12,-73.6492809,3.883066942,OK,
"67-CASA ROJA",100,26,-73.6493911,3.884369642,OK,
"67-CASA ROJA",100,9,-73.6492606,3.882823681,OK,
"67-CASA ROJA",100,7,-73.6492539,3.882675908,OK,
"67-CASA ROJA",100,20,-73.6493506,3.883894486,OK,
"67-CASA ROJA",100,10,-73.6492696,3.882982822,OK,
"67-CASA ROJA",100,21,-73.6493551,3.884001337,OK,
"67-CASA ROJA",100,16,-73.6493304,3.88358757,OK,
"67-CASA ROJA",100,5,-73.6492359,3.88253495,OK,
"67-CASA ROJA",100,10,-73.6492696,3.882912347,OK,
"67-CASA ROJA",100,15,-73.6492989,3.883285195,OK,
"67-CASA ROJA",100,29,-73.6494204,3.884653828,OK,
"67-CASA ROJA",100,27,-73.6493956,3.884442392,OK,
"67-CASA ROJA",100,18,-73.6493348,3.883739889,OK,
"67-CASA ROJA",100,14,-73.6492853,3.883212441,OK,
"67-CASA ROJA",100,2,-73.6492247,3.882232586,OK,
"67-CASA ROJA",100,28,-73.6494091,3.884526514,OK,
"67-CASA ROJA",100,4,-73.6492223,3.882457648,OK,
"67-CASA ROJA",100,1,-73.6492134,3.882121185,OK,
"67-CASA ROJA",100,29,-73.6494204,3.884571987,OK,
"67-CASA ROJA",100,25,-73.6493889,3.884287799,OK,
"67-CASA ROJA",100,19,-73.6493371,3.883810364,OK,
"67-CASA ROJA",100,13,-73.6492854,3.883139693,OK,
"67-CASA ROJA",100,8,-73.6492584,3.882746385,OK,
"67-CASA ROJA",100,3,-73.6492201,3.882387173,OK,
"67-CASA ROJA",100,17,-73.6493349,3.88366032,OK,
"67-CASA ROJA",100,6,-73.6492494,3.882600885,OK,
"67-CASA ROJA",100,23,-73.6493731,3.884137748,OK,
"62-LA CEIBA",100,3,-73.6601091,3.8857972,OK,
"62-LA CEIBA",100,2,-73.6601309,3.8858911,OK,
"62-LA CEIBA",100,1,-73.6601442,3.8859927,OK,
"67-CASA ROJA",101,9,-73.6493442,3.883087435,OK,
"67-CASA ROJA",101,7,-73.6493375,3.882862368,OK,
"67-CASA ROJA",101,1,-73.6492745,3.882166683,OK,
"67-CASA ROJA",101,4,-73.6493218,3.88270777,OK,
"67-CASA ROJA",101,12,-73.6493645,3.883330696,OK,
"67-CASA ROJA",101,13,-73.6493758,3.88338981,OK,
"67-CASA ROJA",101,10,-73.6493487,3.883164732,OK,
"67-CASA ROJA",101,8,-73.649342,3.883007866,OK,
"67-CASA ROJA",101,5,-73.6493217,3.882780518,OK,
"67-CASA ROJA",101,2,-73.6492812,3.882400844,OK,
"67-CASA ROJA",101,3,-73.6493105,3.882632743,OK,
"67-CASA ROJA",101,7,-73.6493375,3.882932842,OK,
"67-CASA ROJA",101,11,-73.6493555,3.88324203,OK,
"62-LA CEIBA",101,5,-73.65999,3.8853398,OK,
"62-LA CEIBA",101,6,-73.6599607,3.8851598,OK,
"62-LA CEIBA",101,10,-73.6598774,3.8846171,OK,
"62-LA CEIBA",101,2,-73.6600507,3.8858571,OK,
"62-LA CEIBA",101,8,-73.6599034,3.8847863,OK,
"62-LA CEIBA",101,9,-73.6598895,3.8846957,OK,
"62-LA CEIBA",101,7,-73.6599434,3.885047,OK,
"62-LA CEIBA",101,1,-73.6600587,3.8859499,OK,
"62-LA CEIBA",101,4,-73.6600206,3.8856931,OK,
"62-LA CEIBA",101,3,-73.6600403,3.8857895,OK,
"67-CASA ROJA",102,19,-73.6494774,3.883824076,OK,
"67-CASA ROJA",102,27,-73.6495359,3.884490204,OK,
"67-CASA ROJA",102,22,-73.6495044,3.884115081,OK,
"67-CASA ROJA",102,26,-73.6495292,3.884376532,OK,
"67-CASA ROJA",102,12,-73.6494031,3.88298289,OK,
"67-CASA ROJA",102,9,-73.6493987,3.882826025,OK,
"67-CASA ROJA",102,22,-73.6495044,3.88404006,OK,
"67-CASA ROJA",102,3,-73.649331,3.882298568,OK,
"67-CASA ROJA",102,7,-73.6493875,3.882575948,OK,
"67-CASA ROJA",102,4,-73.6493491,3.882380418,OK,
"67-CASA ROJA",102,15,-73.6494369,3.883367107,OK,
"67-CASA ROJA",102,1,-73.6493243,3.882130334,OK,
"67-CASA ROJA",102,6,-73.6493739,3.882516833,OK,
"67-CASA ROJA",102,18,-73.6494594,3.883519435,OK,
"67-CASA ROJA",102,20,-73.6494864,3.883885462,OK,
"67-CASA ROJA",102,8,-73.6493874,3.882662336,OK,
"67-CASA ROJA",102,9,-73.6493987,3.882744183,OK,
"67-CASA ROJA",102,2,-73.6493198,3.882198533,OK,
"67-CASA ROJA",102,28,-73.6495494,3.884658441,OK,
"67-CASA ROJA",102,25,-73.6495157,3.884267403,OK,
"67-CASA ROJA",102,24,-73.6495089,3.884203745,OK,
"67-CASA ROJA",102,11,-73.6494009,3.882910141,OK,
"67-CASA ROJA",102,21,-73.6494909,3.883951392,OK,
"67-CASA ROJA",102,14,-73.6494347,3.88319433,OK,
"67-CASA ROJA",102,17,-73.6494504,3.883430768,OK,
"67-CASA ROJA",102,15,-73.6494369,3.883269352,OK,
"67-CASA ROJA",102,5,-73.6493694,3.882450903,OK,
"67-CASA ROJA",102,13,-73.6494166,3.883107932,OK,
"62-LA CEIBA",102,5,-73.659889,3.8852756,OK,
"62-LA CEIBA",102,8,-73.6598447,3.8850262,OK,
"62-LA CEIBA",102,11,-73.6598108,3.8847667,OK,
"62-LA CEIBA",102,3,-73.6599441,3.8856496,OK,
"62-LA CEIBA",102,13,-73.6597796,3.8845116,OK,
"62-LA CEIBA",102,7,-73.6598662,3.8851178,OK,
"62-LA CEIBA",102,9,-73.6598297,3.8849316,OK,
"62-LA CEIBA",102,6,-73.659878,3.8852013,OK,
"62-LA CEIBA",102,12,-73.6597977,3.8846674,OK,
"62-LA CEIBA",102,1,-73.6599643,3.8858304,OK,
"62-LA CEIBA",102,10,-73.6598218,3.884841,OK,
"62-LA CEIBA",102,4,-73.6599042,3.8853724,OK,
"62-LA CEIBA",102,2,-73.6599566,3.8857421,OK,
"67-CASA ROJA",103,20,-73.6495633,3.883942335,OK,
"67-CASA ROJA",103,21,-73.6495701,3.884062827,OK,
"67-CASA ROJA",103,22,-73.6495814,3.884146948,OK,
"67-CASA ROJA",103,18,-73.6495431,3.88368998,OK,
"67-CASA ROJA",103,24,-73.6495926,3.88429927,OK,
"67-CASA ROJA",103,26,-73.6496061,3.884537981,OK,
"67-CASA ROJA",103,7,-73.6494621,3.882773769,OK,
"67-CASA ROJA",103,19,-73.6495453,3.883844571,OK,
"67-CASA ROJA",103,23,-73.6495813,3.884224242,OK,
"67-CASA ROJA",103,25,-73.6495948,3.884374292,OK,
