Lote,Linea,Palma,Longitud,Latitud
67-CASA ROJA,1,1,-73.642684500000,3.884461687000
67-CASA ROJA,1,9,-73.642718100000,3.885243744000
67-CASA ROJA,1,2,-73.642698100000,3.884589003000
67-CASA ROJA,1,8,-73.642736300000,3.885018690000
67-CASA ROJA,1,6,-73.642734200000,3.884768618000
67-CASA ROJA,1,6,-73.642734200000,3.884825452000
67-CASA ROJA,1,10,-73.642711300000,3.885339222000
67-CASA ROJA,1,2,-73.642698100000,3.884516255000
67-CASA ROJA,1,8,-73.642736300000,3.885116445000
67-CASA ROJA,1,4,-73.642718400000,3.884693588000
62-LA CEIBA,1,2,-73.668248700000,3.888213300000
62-LA CEIBA,1,1,-73.668255000000,3.888285700000
67-CASA ROJA,10,4,-73.643307000000,3.884437001000
67-CASA ROJA,10,6,-73.643311400000,3.884655247000
67-CASA ROJA,10,9,-73.643340700000,3.884962167000
67-CASA ROJA,10,14,-73.643457800000,3.886187575000
67-CASA ROJA,10,8,-73.643340800000,3.884821218000
67-CASA ROJA,10,12,-73.643412700000,3.885682863000
67-CASA ROJA,10,2,-73.643286700000,3.884275581000
67-CASA ROJA,10,5,-73.643309200000,3.884507477000
67-CASA ROJA,10,13,-73.643417200000,3.885819268000
67-CASA ROJA,10,9,-73.643340700000,3.884884873000
67-CASA ROJA,10,7,-73.643329500000,3.884739371000
67-CASA ROJA,10,15,-73.643460000000,3.886264871000
67-CASA ROJA,10,1,-73.643275400000,3.884186914000
67-CASA ROJA,10,11,-73.643354200000,3.885128130000
67-CASA ROJA,10,3,-73.643291200000,3.884357425000
62-LA CEIBA,10,14,-73.667464400000,3.887678600000
62-LA CEIBA,10,15,-73.667445300000,3.887593600000
62-LA CEIBA,10,7,-73.667547100000,3.888316000000
62-LA CEIBA,10,13,-73.667468300000,3.887769000000
62-LA CEIBA,10,10,-73.667513700000,3.888043000000
62-LA CEIBA,10,17,-73.667418100000,3.887438300000
62-LA CEIBA,10,11,-73.667500400000,3.887957400000
62-LA CEIBA,10,12,-73.667489300000,3.887875600000
62-LA CEIBA,10,9,-73.667525700000,3.888136500000
62-LA CEIBA,10,16,-73.667425800000,3.887504600000
62-LA CEIBA,10,2,-73.667609100000,3.888760000000
62-LA CEIBA,10,4,-73.667590200000,3.888586300000
62-LA CEIBA,10,8,-73.667540100000,3.888212200000
62-LA CEIBA,10,3,-73.667595500000,3.888670600000
62-LA CEIBA,10,1,-73.667618400000,3.888844000000
62-LA CEIBA,10,6,-73.667560100000,3.888397700000
62-LA CEIBA,10,5,-73.667581300000,3.888484500000
67-CASA ROJA,100,23,-73.649373100000,3.884194583000
67-CASA ROJA,100,22,-73.649361800000,3.884062721000
67-CASA ROJA,100,12,-73.649280900000,3.883066942000
67-CASA ROJA,100,26,-73.649391100000,3.884369642000
67-CASA ROJA,100,9,-73.649260600000,3.882823681000
67-CASA ROJA,100,7,-73.649253900000,3.882675908000
67-CASA ROJA,100,20,-73.649350600000,3.883894486000
67-CASA ROJA,100,10,-73.649269600000,3.882982822000
67-CASA ROJA,100,21,-73.649355100000,3.884001337000
67-CASA ROJA,100,16,-73.649330400000,3.883587570000
67-CASA ROJA,100,5,-73.649235900000,3.882534950000
67-CASA ROJA,100,10,-73.649269600000,3.882912347000
67-CASA ROJA,100,15,-73.649298900000,3.883285195000
67-CASA ROJA,100,29,-73.649420400000,3.884653828000
67-CASA ROJA,100,27,-73.649395600000,3.884442392000
67-CASA ROJA,100,18,-73.649334800000,3.883739889000
67-CASA ROJA,100,14,-73.649285300000,3.883212441000
67-CASA ROJA,100,2,-73.649224700000,3.882232586000
67-CASA ROJA,100,28,-73.649409100000,3.884526514000
67-CASA ROJA,100,4,-73.649222300000,3.882457648000
67-CASA ROJA,100,1,-73.649213400000,3.882121185000
67-CASA ROJA,100,29,-73.649420400000,3.884571987000
67-CASA ROJA,100,25,-73.649388900000,3.884287799000
67-CASA ROJA,100,19,-73.649337100000,3.883810364000
67-CASA ROJA,100,13,-73.649285400000,3.883139693000
67-CASA ROJA,100,8,-73.649258400000,3.882746385000
67-CASA ROJA,100,3,-73.649220100000,3.882387173000
67-CASA ROJA,100,17,-73.649334900000,3.883660320000
67-CASA ROJA,100,6,-73.649249400000,3.882600885000
67-CASA ROJA,100,23,-73.649373100000,3.884137748000
62-LA CEIBA,100,3,-73.660109100000,3.885797200000
62-LA CEIBA,100,2,-73.660130900000,3.885891100000
62-LA CEIBA,100,1,-73.660144200000,3.885992700000
67-CASA ROJA,101,9,-73.649344200000,3.883087435000
67-CASA ROJA,101,7,-73.649337500000,3.882862368000
67-CASA ROJA,101,1,-73.649274500000,3.882166683000
67-CASA ROJA,101,4,-73.649321800000,3.882707770000
67-CASA ROJA,101,12,-73.649364500000,3.883330696000
67-CASA ROJA,101,13,-73.649375800000,3.883389810000
67-CASA ROJA,101,10,-73.649348700000,3.883164732000
67-CASA ROJA,101,8,-73.649342000000,3.883007866000
67-CASA ROJA,101,5,-73.649321700000,3.882780518000
67-CASA ROJA,101,2,-73.649281200000,3.882400844000
67-CASA ROJA,101,3,-73.649310500000,3.882632743000
67-CASA ROJA,101,7,-73.649337500000,3.882932842000
67-CASA ROJA,101,11,-73.649355500000,3.883242030000
62-LA CEIBA,101,5,-73.659990000000,3.885339800000
62-LA CEIBA,101,6,-73.659960700000,3.885159800000
62-LA CEIBA,101,10,-73.659877400000,3.884617100000
62-LA CEIBA,101,2,-73.660050700000,3.885857100000
62-LA CEIBA,101,8,-73.659903400000,3.884786300000
62-LA CEIBA,101,9,-73.659889500000,3.884695700000
62-LA CEIBA,101,7,-73.659943400000,3.885047000000
62-LA CEIBA,101,1,-73.660058700000,3.885949900000
62-LA CEIBA,101,4,-73.660020600000,3.885693100000
62-LA CEIBA,101,3,-73.660040300000,3.885789500000
67-CASA ROJA,102,19,-73.649477400000,3.883824076000
67-CASA ROJA,102,27,-73.649535900000,3.884490204000
67-CASA ROJA,102,22,-73.649504400000,3.884115081000
67-CASA ROJA,102,26,-73.649529200000,3.884376532000
67-CASA ROJA,102,12,-73.649403100000,3.882982890000
67-CASA ROJA,102,9,-73.649398700000,3.882826025000
