Latitud,Longitud,Línea palma,Posición palma,Lote
7.336576854,-76.72322992,1,1,1
7.336536382,-76.72316139,1,2,1
7.336576854,-76.72322992,1,3,1
7.336495910,-76.72309286,1,1,1
7.336455438,-76.72302433,2,1,1
7.336414966,-76.72295580,2,2,1
7.336374494,-76.72288727,1,2,La gloria
7.336253078,-76.72268168,2,1,1
200.0,-76.72268168,3,1,Lote X
7.336293550,500.0,2,3,Lote Invalido
,,3,1,1
7.336253078,-76.72268168,,3,Lote Y
7.336212606,-76.72261315,2,,Lote Z
7.336172134,-76.72254462,3,4,1
7.336131662,-76.72247609,2,1,1
7.336091190,-76.72240756,1,1,2
-90.5,-180.5,1,1,Ultimo lote
7.336050718,-76.72233903,4,5,Valid

